"","nh","year","villid","thanaid","agehead","sexhead","educhead","famsize","hhland","hhasset","expfd","expnfd","exptot","dmmfd","dfmfd","weight","vaccess","pcirr","rice","wheat","milk","potato","egg","oil","village.id","ln.exptot","ln.lands","program.male","program.female"
"264",91045,1,1,9,46,1,10,6,40,50385.70703125,3685.43334960938,1807.86743164062,5493.30078125,0,0,1.81818175315857,1,0.899999976158142,10.8269052505493,7.44349718093872,6.76681566238403,7.32636690139771,1.69170391559601,37.8941688537598,91,8.61146640777588,0.336472243070602,1,1
"265",91052,1,1,9,42,1,0,5,1,14470,4109.0810546875,442.5498046875,4551.630859375,1,1,0.822510778903961,1,0.899999976158142,10.8269052505493,7.44349718093872,6.76681566238403,7.32636690139771,1.69170391559601,37.8941688537598,91,8.42346096038818,0.00995033048093319,1,1
"266",91062,1,1,9,27,1,0,3,2,14015,2994.54150390625,419.542724609375,3414.08422851562,1,1,0.822510778903961,1,0.899999976158142,10.8269052505493,7.44349718093872,6.76681566238403,7.32636690139771,1.69170391559601,37.8941688537598,91,8.13595771789551,0.0198026280850172,1,1
"267",91072,1,1,9,45,0,0,2,10,14940,1358.43823242188,306.198364257812,1664.63659667969,0,1,0.822510778903961,1,0.899999976158142,10.8269052505493,7.44349718093872,6.76681566238403,7.32636690139771,1.69170391559601,37.8941688537598,91,7.41796255111694,0.0953101813793182,1,1
"268",91082,1,1,9,46,0,0,1,1,1350,4112.87060546875,895.24951171875,5008.1201171875,0,1,0.822510778903961,1,0.899999976158142,10.8269052505493,7.44349718093872,6.76681566238403,7.32636690139771,1.69170391559601,37.8941688537598,91,8.51901531219482,0.00995033048093319,1,1
"269",91122,1,1,9,30,1,8,9,219,188950,5219.16943359375,14406.173828125,19625.34375,1,0,0.822510778903961,1,0.899999976158142,10.8269052505493,7.44349718093872,6.76681566238403,7.32636690139771,1.69170391559601,37.8941688537598,91,9.88462829589844,1.16002094745636,1,1
"270",92014,1,2,9,44,1,10,6,25,20580,3137.998046875,853.29541015625,3991.29345703125,0,1,1.25999999046326,1,0.939999997615814,9.6991024017334,6.76681566238403,6.76681566238403,6.56320381164551,1.69170391559601,40.6008949279785,92,8.29212093353271,0.223143547773361,1,1
"271",92022,1,2,9,48,1,8,5,305,144990,2431.99340820312,651.373779296875,3083.3671875,1,0,0.25,1,0.939999997615814,9.6991024017334,6.76681566238403,6.76681566238403,6.56320381164551,1.69170391559601,40.6008949279785,92,8.03410148620605,1.39871692657471,1,1
"272",92024,1,2,9,48,1,0,8,45,21460,3016.13891601562,447.540283203125,3463.67919921875,0,1,1.25999999046326,1,0.939999997615814,9.6991024017334,6.76681566238403,6.76681566238403,6.56320381164551,1.69170391559601,40.6008949279785,92,8.15037536621094,0.37156355381012,1,1
"273",92025,1,2,9,45,0,0,3,258,198573.5625,4109.0361328125,1009.833984375,5118.8701171875,0,0,3.56666660308838,1,0.939999997615814,9.6991024017334,6.76681566238403,6.76681566238403,6.56320381164551,1.69170391559601,40.6008949279785,92,8.54088401794434,1.27536284923553,1,1
"274",92032,1,2,9,42,1,3,5,282,95180,2883.4755859375,515.3603515625,3398.8359375,0,1,0.25,1,0.939999997615814,9.6991024017334,6.76681566238403,6.76681566238403,6.56320381164551,1.69170391559601,40.6008949279785,92,8.13148212432861,1.34025037288666,1,1
"275",92034,1,2,9,45,1,0,6,3,7490,2384.85131835938,600.667724609375,2985.51904296875,1,0,1.25999999046326,1,0.939999997615814,9.6991024017334,6.76681566238403,6.76681566238403,6.56320381164551,1.69170391559601,40.6008949279785,92,8.00186347961426,0.02955880202353,1,1
